login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
ramthir,11,https://github.com/ramthir,User,False,3627.0,13.0,0.0,5,11,10,4,False,Angular,0.0,9.94
t-bowersox,11,https://github.com/t-bowersox,User,False,3607.0,30.0,30.0,30,3,1,0,False,Angular,1.0,9.88
garrettld,10,https://github.com/garrettld,User,False,3582.0,20.0,8.0,3,9,6,0,False,Angular,0.4,9.81
PowerKiKi,10,https://github.com/PowerKiKi,User,False,5791.0,30.0,30.0,30,30,185,3,False,Angular,1.0,15.87
hankduan,10,https://github.com/hankduan,User,False,4900.0,30.0,10.0,30,12,73,1,False,Angular,0.3333333333333333,13.42
SekibOmazic,10,https://github.com/SekibOmazic,User,False,4370.0,30.0,30.0,30,30,33,130,False,Angular,1.0,11.97
serpent5,9,https://github.com/serpent5,User,False,4102.0,30.0,30.0,30,5,46,28,False,Angular,1.0,11.24
jakovljevic-mladen,9,https://github.com/jakovljevic-mladen,User,False,2852.0,30.0,30.0,17,15,36,11,False,Angular,1.0,7.81
benbraou,9,https://github.com/benbraou,User,False,3437.0,0.0,0.0,0,22,23,80,False,Angular,0.0,9.42
4javier,9,https://github.com/4javier,User,False,5224.0,0.0,0.0,0,18,7,0,False,Angular,0.0,14.31
JeevanMahesha,9,https://github.com/JeevanMahesha,User,False,2611.0,0.0,0.0,0,18,42,3,False,Angular,0.0,7.15
joostme,9,https://github.com/joostme,User,False,3445.0,0.0,0.0,0,22,7,17,False,Angular,0.0,9.44
harryterkelsen,9,https://github.com/harryterkelsen,User,False,4602.0,0.0,0.0,0,11,117,14,False,Angular,0.0,12.61
AlirezaEbrahimkhani,8,https://github.com/AlirezaEbrahimkhani,User,False,2220.0,0.0,0.0,0,30,98,55,False,Angular,0.0,6.08
Goodwine,8,https://github.com/Goodwine,User,False,4592.0,0.0,0.0,0,19,15,20,False,Angular,0.0,12.58
sarunint,8,https://github.com/sarunint,User,False,4358.0,0.0,0.0,0,30,35,1,False,Angular,0.0,11.94
sdedieu,8,https://github.com/sdedieu,User,False,1935.0,26.0,10.0,20,30,10,2,False,Angular,0.38461538461538464,5.3
uraj,8,https://github.com/uraj,User,False,4834.0,30.0,20.0,17,23,31,12,False,Angular,0.6666666666666666,13.24
juleskremer,8,https://github.com/juleskremer,User,False,3529.0,21.0,12.0,1,5,27,5,False,Angular,0.5714285714285714,9.67
davidlj95,8,https://github.com/davidlj95,User,False,3882.0,30.0,30.0,30,30,82,5,False,Angular,1.0,10.64
chirayuk,8,https://github.com/chirayuk,User,False,5920.0,30.0,30.0,30,30,239,5,False,Angular,1.0,16.22
qmonmert,7,https://github.com/qmonmert,User,False,3733.0,30.0,30.0,30,30,19,0,False,Angular,1.0,10.23
swami-sanapathi,7,https://github.com/swami-sanapathi,User,False,2429.0,27.0,16.0,25,30,9,2,False,Angular,0.5925925925925926,6.65
divdavem,7,https://github.com/divdavem,User,False,4862.0,30.0,30.0,30,30,24,1,False,Angular,1.0,13.32
ilirbeqirii,7,https://github.com/ilirbeqirii,User,False,2977.0,30.0,30.0,21,30,5,0,False,Angular,1.0,8.16
bougwal,7,https://github.com/bougwal,User,False,1820.0,30.0,11.0,11,30,8,0,False,Angular,0.36666666666666664,4.99
macjohnny,7,https://github.com/macjohnny,User,False,4156.0,0.0,0.0,0,14,56,11,False,Angular,0.0,11.39
abarghoud,7,https://github.com/abarghoud,User,False,3492.0,0.0,0.0,0,16,6,26,False,Angular,0.0,9.57
stevermeister,7,https://github.com/stevermeister,User,False,4725.0,0.0,0.0,0,30,257,567,False,Angular,0.0,12.95
laskoviymishka,7,https://github.com/laskoviymishka,User,False,4483.0,0.0,0.0,0,30,33,13,False,Angular,0.0,12.28
rockument69,7,https://github.com/rockument69,User,False,2491.0,0.0,0.0,0,3,35,0,False,Angular,0.0,6.82
Rajendran-Balaji,7,https://github.com/Rajendran-Balaji,User,False,1282.0,0.0,0.0,0,5,0,7,False,Angular,0.0,3.51
9kubczas4,7,https://github.com/9kubczas4,User,False,2330.0,0.0,0.0,0,19,19,5,False,Angular,0.0,6.38
cironunes,7,https://github.com/cironunes,User,False,5216.0,30.0,30.0,30,30,873,175,False,Angular,1.0,14.29
khempenius,7,https://github.com/khempenius,User,False,4095.0,30.0,30.0,30,11,340,53,False,Angular,1.0,11.22
yousafnawaz,7,https://github.com/yousafnawaz,User,False,1235.0,10.0,2.0,6,22,0,0,False,Angular,0.2,3.38
ericmdantas,7,https://github.com/ericmdantas,User,False,3983.0,25.0,13.0,30,30,86,94,False,Angular,0.52,10.91
RafaelJCamara,6,https://github.com/RafaelJCamara,User,False,2067.0,30.0,30.0,30,30,6,0,False,Angular,1.0,5.66
jnizet,6,https://github.com/jnizet,User,False,4702.0,30.0,30.0,30,30,206,5,False,Angular,1.0,12.88
adeora,6,https://github.com/adeora,User,False,4348.0,14.0,8.0,30,14,32,53,False,Angular,0.5714285714285714,11.91
eltociear,6,https://github.com/eltociear,User,False,3056.0,0.0,0.0,0,30,0,17,False,Angular,0.0,8.37
kuncevic,6,https://github.com/kuncevic,User,False,4803.0,30.0,23.0,30,30,48,16,False,Angular,0.7666666666666667,13.16
Zuckjet,6,https://github.com/Zuckjet,User,False,3254.0,0.0,0.0,0,30,19,9,False,Angular,0.0,8.92
profanis,6,https://github.com/profanis,User,False,3982.0,0.0,0.0,0,30,140,131,False,Angular,0.0,10.91
alefra86,6,https://github.com/alefra86,User,False,3971.0,0.0,0.0,0,4,2,0,False,Angular,0.0,10.88
TrevorKarjanis,6,https://github.com/TrevorKarjanis,User,False,4537.0,0.0,0.0,0,30,3,3,False,Angular,0.0,12.43
realtomaszkula,6,https://github.com/realtomaszkula,User,False,3385.0,0.0,0.0,0,30,50,3,False,Angular,0.0,9.27
akib1997,6,https://github.com/akib1997,User,False,2160.0,0.0,0.0,0,30,27,5,False,Angular,0.0,5.92
rahatarmanahmed,6,https://github.com/rahatarmanahmed,User,False,4427.0,0.0,0.0,0,30,67,769,False,Angular,0.0,12.13
acohenOT,6,https://github.com/acohenOT,User,False,2616.0,13.0,6.0,30,0,1,0,False,Angular,0.46153846153846156,7.17
cesperian,6,https://github.com/cesperian,User,False,1824.0,11.0,2.0,9,8,0,5,False,Angular,0.18181818181818182,5.0
textbook,6,https://github.com/textbook,User,False,5028.0,30.0,30.0,30,30,193,101,False,Angular,1.0,13.78
cebor,6,https://github.com/cebor,User,False,4710.0,30.0,30.0,30,24,41,268,False,Angular,1.0,12.9
jrumandal,6,https://github.com/jrumandal,User,False,3029.0,7.0,1.0,3,11,16,2,False,Angular,0.14285714285714285,8.3
frigus02,6,https://github.com/frigus02,User,False,4387.0,30.0,30.0,30,30,62,9,False,Angular,1.0,12.02
gionkunz,6,https://github.com/gionkunz,User,False,4560.0,30.0,0.0,0,30,472,223,False,Angular,0.0,12.49
