pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25823,1,0,16,0,0.0,closed,False,False
25822,18,3,1,0,0.0,closed,False,False
25821,2,1,2,0,0.0,closed,True,True
25820,5,4,0,0,0.0,closed,True,True
25819,1,0,0,0,0.0,closed,False,False
25818,1,0,0,0,0.0,closed,True,True
25817,0,2,4,0,0.0,closed,False,False
25816,1,0,1,0,0.0,closed,True,True
25815,1,0,0,0,0.0,closed,True,True
25814,138,0,44,0,0.0,closed,False,False
25812,5,0,0,0,0.0,closed,True,True
25811,0,3,0,0,0.0,closed,True,True
25810,1,1,0,0,0.0,closed,False,False
25809,133,133,0,0,0.0,closed,True,True
25808,1,0,5,0,0.0,closed,False,False
25807,1,1,0,0,0.0,closed,True,True
25806,1,1,0,0,0.0,closed,True,True
25805,0,0,0,0,0.0,closed,True,True
25804,6,0,2,0,0.0,closed,True,True
25803,46,0,3,0,0.0,closed,False,False
25802,1,1,0,0,0.0,closed,True,True
25801,1,1,0,0,0.0,closed,True,True
25800,0,184,2,0,0.0,closed,False,False
25799,4,1,0,0,0.0,closed,True,True
25798,11,11,0,0,0.0,closed,True,True
25797,1,1,1,0,0.0,closed,True,True
25796,2,1,0,0,0.0,closed,True,True
25795,1,1,0,0,0.0,closed,False,False
25794,1,1,0,8,4.0,closed,True,True
25793,1,1,0,0,0.0,closed,True,True
25792,1,0,3,0,0.0,closed,True,True
25791,8,4,0,0,0.0,closed,True,True
25790,3,0,0,0,0.0,closed,False,False
25789,1,0,1,0,0.0,closed,True,True
25788,1,0,0,0,0.0,closed,True,True
25787,1,0,0,0,0.0,closed,True,True
25786,2,0,2,0,0.0,closed,True,True
25785,1,1,1,0,0.0,closed,False,False
25784,1,0,0,0,0.0,closed,True,True
25783,0,19198,0,0,0.0,closed,False,False
25782,2,0,0,0,0.0,closed,True,True
25781,1,1,0,0,0.0,closed,False,False
25780,1,0,1,0,0.0,closed,False,False
25779,1,0,0,0,0.0,closed,True,True
25778,7,2,2,0,0.0,closed,False,False
25777,1,1,0,0,0.0,closed,True,True
25776,2,0,41,0,0.0,closed,False,False
25775,1,0,0,0,0.0,closed,False,False
25774,1,2,0,0,0.0,closed,True,True
25773,2,2,0,0,0.0,closed,True,True
25772,1,0,0,0,0.0,closed,True,True
25771,0,1,3,0,0.0,closed,False,False
25770,1,0,0,0,0.0,closed,True,True
25769,1,0,1,0,0.0,closed,True,True
25768,99,0,0,0,0.0,closed,False,False
25767,1,0,0,0,0.0,closed,True,True
25766,0,0,0,0,0.0,closed,True,True
25765,1,1,0,0,0.0,closed,True,True
25764,2,0,3,0,0.0,closed,False,False
25763,1,0,0,0,0.0,closed,True,True
25762,4,0,7,0,0.0,closed,False,False
25761,25,0,3,0,0.0,closed,False,False
25760,2,0,2,0,0.0,closed,False,False
25759,1,0,0,0,0.0,closed,True,True
25758,99,0,0,0,0.0,closed,True,True
25757,2,2,0,0,0.0,closed,False,False
25756,1,1,0,0,0.0,closed,False,False
25755,1,0,0,0,0.0,closed,True,True
25754,1,1,0,0,0.0,closed,True,True
25753,1,0,3,0,0.0,closed,False,False
25752,1,0,1,0,0.0,closed,True,True
25751,5,1,3,0,0.0,closed,False,False
25750,1,0,4,0,0.0,closed,True,True
25749,36,3,0,0,0.0,closed,True,True
25748,1,0,0,1,1.0,closed,True,True
25747,1,0,0,0,0.0,closed,True,True
25746,1,0,1,0,0.0,closed,True,True
25745,2,1,1,0,0.0,closed,True,True
25744,1,1,0,0,0.0,closed,True,True
25743,58,47,0,0,0.0,closed,True,True
25742,1,0,1,0,0.0,closed,True,True
25741,1,1,0,0,0.0,closed,True,True
25740,1,1,0,0,0.0,closed,True,True
25739,3,0,2,0,0.0,closed,True,True
25738,1,0,0,0,0.0,closed,True,True
25737,56,58,0,0,0.0,closed,True,True
25736,3,3,0,0,0.0,closed,True,True
25735,1,0,1,0,0.0,closed,True,True
25734,1,1,1,0,0.0,closed,False,False
25733,1,0,0,0,0.0,closed,False,False
25732,4,4,0,0,0.0,closed,True,True
25731,1,1,0,0,0.0,closed,True,True
25730,1,1,0,0,0.0,closed,True,True
25729,1,1,0,0,0.0,closed,True,True
25728,2,0,0,0,0.0,closed,False,False
25727,1,0,0,0,0.0,closed,True,True
25726,0,1,0,0,0.0,closed,True,True
25725,6,6,2,0,0.0,closed,True,True
25724,1,0,0,0,0.0,closed,True,True
25723,1,0,0,0,0.0,closed,True,True
25722,1,0,0,0,0.0,closed,False,False
25721,5,0,2,0,0.0,closed,True,True
25720,1,1,1,0,0.0,closed,False,False
25719,2,0,2,0,0.0,closed,True,True
25718,48,0,10,0,0.0,closed,False,False
25717,3,0,5,0,0.0,closed,True,True
25716,1,1,0,0,0.0,closed,True,True
25715,2,2,0,0,0.0,closed,True,True
25714,1,0,0,0,0.0,closed,True,True
25713,2,2,0,0,0.0,closed,False,False
25712,28,1,0,0,0.0,closed,True,True
25711,0,3,0,0,0.0,closed,True,True
25710,1,1,0,0,0.0,closed,True,True
25709,3,0,0,0,0.0,closed,False,False
25708,2,0,0,0,0.0,closed,True,True
25707,1,1,0,0,0.0,closed,True,True
25706,2,0,0,0,0.0,closed,True,True
25705,1,1,0,0,0.0,closed,True,True
25704,2,1,0,0,0.0,closed,True,True
25703,2,1,0,0,0.0,closed,True,True
25702,9,9,0,0,0.0,closed,True,True
25701,3,2,1,0,0.0,closed,True,True
25700,3,2,0,0,0.0,closed,True,True
25699,1,0,0,0,0.0,closed,True,True
25698,1,0,0,0,0.0,closed,True,True
25697,0,6,6,0,0.0,closed,True,True
25696,3,1,41,0,0.0,closed,False,False
25695,78,0,0,0,0.0,closed,False,False
25694,9,0,0,0,0.0,closed,True,True
25693,1,0,1,0,0.0,closed,True,True
25692,3,0,0,0,0.0,closed,False,False
25691,1,0,0,0,0.0,closed,False,False
25690,28,0,29,0,0.0,closed,False,False
25689,1,0,1,0,0.0,closed,True,True
25688,1,0,2,0,0.0,closed,True,True
25687,1,0,0,0,0.0,closed,True,True
