Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
WilliamABradley,1,https://github.com/WilliamABradley,User,False,4101,30,30,30,30,27,37,False
WordlessSafe1,1,https://github.com/WordlessSafe1,User,False,1191,30,29,3,10,2,3,False
smallg0at,1,https://github.com/smallg0at,User,False,2753,30,30,30,30,10,4,False
YDKK,1,https://github.com/YDKK,User,False,4401,27,24,30,23,11,40,False
yifan-k,1,https://github.com/yifan-k,User,False,1130,4,3,0,3,1,0,False
YisroelTech,1,https://github.com/YisroelTech,User,False,3952,14,11,21,10,4,2,False
yodurr,1,https://github.com/yodurr,User,False,3635,30,30,20,11,52,2,False
Youssef1313,1,https://github.com/Youssef1313,User,False,2732,30,30,30,30,362,6,True
yhirano,1,https://github.com/yhirano,User,False,5099,0,0,0,30,89,289,False
yveslaurentcreton,1,https://github.com/yveslaurentcreton,User,False,2064,0,0,0,11,8,20,False
Zaycn,1,https://github.com/Zaycn,User,False,3344,0,0,0,3,0,0,False
ZeppLu,1,https://github.com/ZeppLu,User,False,3303,0,0,0,30,5,2,False
eternalphane,1,https://github.com/eternalphane,User,False,3639,0,0,0,30,19,6,False
patdhlk,1,https://github.com/patdhlk,User,False,3761,0,0,0,30,82,13,False
16patsle,1,https://github.com/16patsle,User,False,3921,0,0,0,30,23,44,False
pcanavar,1,https://github.com/pcanavar,User,False,1716,3,3,0,6,2,0,False
Physalis2,1,https://github.com/Physalis2,User,False,539,30,30,7,4,3,1,False
Quriz,1,https://github.com/Quriz,User,False,1533,6,6,4,3,15,72,False
rddunphy,1,https://github.com/rddunphy,User,False,3731,30,30,30,30,9,5,False
RahulDas782,1,https://github.com/RahulDas782,User,False,1919,11,9,0,4,14,0,False
rhorber,1,https://github.com/rhorber,User,False,4286,30,30,17,19,2,3,False
rashil2000,1,https://github.com/rashil2000,User,False,2220,30,30,30,30,100,34,False
ReadmeCritic,1,https://github.com/ReadmeCritic,User,False,3399,30,30,30,8,182,9,False
remyblok,1,https://github.com/remyblok,User,False,3565,13,8,21,28,2,1,False
