pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6336,77,52,0,0,0.0,closed,True,True
6335,130,36,1,0,0.0,closed,True,True
6334,1,1,3,0,0.0,closed,True,True
6333,374,215,1,5,0.4166666666666667,closed,True,True
6332,52,4,5,0,0.0,closed,False,False
6327,36,4,2,0,0.0,open,False,False
6326,26,11,2,0,0.0,closed,True,True
6325,328,180,1,0,0.0,closed,True,True
6324,237,3,4,7,1.0,closed,True,True
6322,1,2,1,0,0.0,closed,True,True
6318,70,3,0,0,0.0,closed,False,False
6317,3,3,0,2,2.0,closed,True,True
6316,5,2,4,6,1.0,closed,True,True
6315,62,0,0,0,0.0,closed,False,False
6311,6,0,0,0,0.0,closed,False,False
6310,9,1,0,2,1.0,closed,True,True
6309,23,8,3,2,0.5,closed,False,False
6306,17,1,0,5,5.0,closed,False,False
6303,12,0,1,0,0.0,closed,False,False
6302,12,0,0,0,0.0,closed,False,False
6301,12,0,0,0,0.0,closed,False,False
6300,12,0,0,0,0.0,closed,False,False
6299,84,0,1,0,0.0,closed,False,False
6298,22,1,2,4,4.0,closed,True,True
6296,3,3,2,0,0.0,closed,True,True
6290,5,1,2,0,0.0,closed,True,True
6287,5,0,0,0,0.0,closed,False,False
6285,2,2,1,0,0.0,closed,True,True
6284,1,1,0,0,0.0,closed,False,False
6283,7,6,1,0,0.0,closed,False,False
6282,17,14,1,0,0.0,closed,False,False
6281,1,1,1,0,0.0,closed,False,False
6280,7,6,1,0,0.0,closed,False,False
6279,164,94,1,3,3.0,closed,True,True
6277,19,1,0,0,0.0,closed,False,False
6276,169,85,1,0,0.0,closed,True,True
6275,89,72,1,0,0.0,closed,True,True
6274,95,6,1,3,0.75,closed,True,True
6273,94,3,13,6,0.8571428571428571,open,False,False
6272,34,33,14,22,22.0,closed,True,True
6269,40,14,4,3,0.375,closed,True,True
6268,357,187,1,1,0.5,closed,True,True
6267,170,0,0,0,0.0,closed,False,False
6265,15,21,1,5,5.0,closed,True,True
6264,36,14,1,1,0.5,closed,True,True
6262,38,23,2,2,2.0,closed,False,False
6261,32,1,7,2,0.6666666666666666,closed,True,True
6260,21,28,1,0,0.0,closed,True,True
6259,48,51,2,0,0.0,closed,True,True
6257,120,119,1,0,0.0,closed,True,True
6256,4,4,0,0,0.0,closed,False,False
6253,156,156,1,3,0.6,closed,True,True
6251,5,0,4,4,1.3333333333333333,closed,True,True
6249,4,4,1,0,0.0,closed,False,False
6248,3,3,1,0,0.0,closed,False,False
6247,3,3,1,0,0.0,closed,False,False
6246,79,17,9,3,0.2727272727272727,closed,True,True
6245,346,1,1,0,0.0,closed,True,True
6243,1,1,0,0,0.0,closed,False,False
6242,51,2,1,0,0.0,closed,True,True
6241,485,55,2,0,0.0,closed,False,False
6240,10,5,1,0,0.0,closed,True,True
6239,9,4,1,2,1.0,closed,True,True
6237,17,9,1,0,0.0,closed,False,False
6236,19,0,3,2,1.0,closed,True,True
6235,52,0,2,1,0.25,closed,True,True
6234,19,16,1,0,0.0,closed,False,False
6233,18,0,1,2,1.0,closed,False,False
6232,12,0,7,4,2.0,closed,True,True
6231,55,0,2,0,0.0,closed,True,True
6230,63,0,1,0,0.0,closed,False,False
6229,25,22,2,0,0.0,closed,True,True
6227,23,14,2,0,0.0,closed,False,False
6226,647,32,6,7,0.3684210526315789,closed,True,True
6224,26,0,3,0,0.0,closed,False,False
6223,3,10,1,2,0.6666666666666666,closed,True,True
6222,1019,117,1,0,0.0,closed,True,True
6221,114,2,8,0,0.0,closed,True,True
6220,117,2,1,0,0.0,closed,False,False
6218,104,2,9,5,0.5,open,False,False
6216,6,0,2,0,0.0,closed,True,True
6215,2,2,1,0,0.0,closed,False,False
6213,11,457,4,7,1.1666666666666667,closed,True,True
6209,2,0,3,0,0.0,closed,False,False
6208,17,0,2,1,0.3333333333333333,closed,True,True
6205,1,1,1,0,0.0,closed,True,True
6202,17,3,2,0,0.0,closed,False,False
